Time,Attacker,Victim,Attack Type,1,3,2,4
35716700,3,1,P,-1.0,1.0,0.0,0.0
35719800,1,3,J,0.0,0.0,0.0,0.0
36062400,2,3,P,-0.5,-1.0,1.5,0.0
36095400,1,3,J,1.1102230246251565e-16,-1.333333333333333,1.3333333333333333,0.0
36098800,1,3,P,0.25,-1.5,1.25,0.0
36135100,3,4,P,1.0,-0.5,2.25,-2.75
36138800,3,4,P,1.0,-0.5,2.25,-2.75
36245000,3,4,P,1.0,-0.5,2.25,-2.75
36249500,3,4,P,1.0,-0.5,2.25,-2.75
36868600,3,4,P,1.0,-0.5,2.25,-2.75
36930800,3,1,J,0.3999999999999999,-0.20000000000000018,2.4,-2.6
37013800,4,1,P,-1.6,0.19999999999999962,2.4,-1.0
37015500,4,1,P,-1.6,0.19999999999999962,2.4,-1.0
37023900,4,3,P,-1.6,-0.2999999999999998,2.2333333333333334,-0.3333333333333335
37113000,1,4,P,-0.6000000000000003,-0.30000000000000016,2.2333333333333334,-1.3333333333333337
37115400,4,1,P,-0.8500000000000003,-0.2999999999999998,2.2333333333333334,-1.083333333333334
37117600,1,4,J,-0.3999999999999999,-0.30000000000000027,2.2333333333333334,-1.5333333333333334
37120300,1,4,P,-0.10000000000000009,-0.29999999999999993,2.2333333333333334,-1.8333333333333337
37205600,2,3,P,-0.10000000000000009,-0.29999999999999993,2.2333333333333334,-1.8333333333333337
38622400,2,3,P,-0.10000000000000009,-0.29999999999999993,2.2333333333333334,-1.8333333333333337
38635600,2,3,P,-0.10000000000000009,-0.29999999999999993,2.2333333333333334,-1.8333333333333337
38901900,4,3,P,-0.10000000000000009,-0.6571428571428568,2.1142857142857143,-1.3571428571428572
38914600,1,3,J,0.16666666666666674,-0.8571428571428568,2.0476190476190474,-1.3571428571428572
38916700,3,1,J,-0.2142857142857144,-0.5714285714285718,2.142857142857143,-1.3571428571428572
39045600,3,4,P,-0.21428571428571397,-0.4642857142857145,2.178571428571429,-1.5
39048200,3,4,P,-0.2142857142857142,-0.38095238095238093,2.2063492063492065,-1.6111111111111112
39049600,4,3,P,-0.2142857142857144,-0.6142857142857143,2.1285714285714286,-1.2999999999999996
39288500,4,3,P,-0.2142857142857142,-0.8051948051948056,2.0649350649350646,-1.045454545454545
39453500,1,3,J,0.0,-0.9659090909090913,2.0113636363636362,-1.0454545454545452
39456100,3,1,J,-0.27777777777777746,-0.7575757575757572,2.080808080808081,-1.0454545454545452
39458300,3,1,J,-0.5,-0.5909090909090913,2.1363636363636362,-1.0454545454545454
